tahun,bulan,curah hujan
1981-1990,1,480
1981-1990,2,300
1981-1990,3,290
1981-1990,4,250
1981-1990,5,200
1981-1990,6,150
1981-1990,7,50
1981-1990,8,80
1981-1990,9,120
1981-1990,10,210
1981-1990,11,410
1981-1990,12,400
1991-2000,1,470
1991-2000,2,300
1991-2000,3,290
1991-2000,4,250
1991-2000,5,200
1991-2000,6,110
1991-2000,7,50
1991-2000,8,55
1991-2000,9,50
1991-2000,10,400
1991-2000,11,500
1991-2000,12,400
2001-2010,1,410
2001-2010,2,400
2001-2010,3,380
2001-2010,4,280
2001-2010,5,130
2001-2010,6,100
2001-2010,7,50
2001-2010,8,0
2001-2010,9,50
2001-2010,10,350
2001-2010,11,650
2001-2010,12,410
